      az          el
-178.000000   -2.000000
-176.000000   -2.000000
-170.000000   -2.000000
-156.000000   -2.000000
-154.000000   -2.000000
-152.000000   -2.000000
-150.000000   -2.000000
-148.000000   -2.000000
-146.000000   -2.000000
-144.000000   -2.000000
-140.000000   -2.000000
 148.000000   -2.000000
 150.000000   -2.000000
 154.000000   -2.000000
 156.000000   -2.000000
 158.000000   -2.000000
 160.000000   -2.000000
 164.000000   -2.000000
 166.000000   -2.000000
 172.000000   -2.000000
 174.000000   -2.000000
 178.000000   -2.000000
-180.000000    0.000000
-178.000000    0.000000
-176.000000    0.000000
-174.000000    0.000000
-172.000000    0.000000
-168.000000    0.000000
-166.000000    0.000000
-162.000000    0.000000
-160.000000    0.000000
-158.000000    0.000000
-156.000000    0.000000
-152.000000    0.000000
-150.000000    0.000000
-148.000000    0.000000
-142.000000    0.000000
 148.000000    0.000000
 150.000000    0.000000
 152.000000    0.000000
 154.000000    0.000000
 156.000000    0.000000
 158.000000    0.000000
 160.000000    0.000000
 162.000000    0.000000
 164.000000    0.000000
 166.000000    0.000000
 168.000000    0.000000
 170.000000    0.000000
 172.000000    0.000000
 174.000000    0.000000
 176.000000    0.000000
 178.000000    0.000000
 180.000000    0.000000
-160.000000    2.000000
 148.000000    2.000000
 150.000000    2.000000
 152.000000    2.000000
 154.000000    2.000000
